개방자치단체코드,관리번호,사업장명,시도명,시군구명,사업장업종명,세차유형,소재지도로명주소,소재지지번주소,휴무일,평일운영시작시각,평일운영종료시각,휴일운영시작시각,휴일운영종료시각,세차요금정보,대표자명,세차장전화번호,수질허가번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202430000000500008,세검정셀프세차타운,서울특별시,종로구,세차장,자동차세차,서울특별시 종로구 자하문로 275,서울특별시 종로구 부암동 185-1,,,,,,,신창현,02-379-0461,제2000-00012호,37.59800331,126.9617256,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:47:21
3000000,202430000000500009,혜화카프라자,서울특별시,종로구,세차장,자동차세차,서울특별시 종로구 혜화로 39-1,서울특별시 종로구 명륜1가 32-2,,,,,,,김해성,02-762-2735,제2003-00004호,37.58916538,126.9991757,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:46:59
3000000,202430000000500005,안풍주유소,서울특별시,종로구,주유소,자동차세차,서울특별시 종로구 자하문로 303,서울특별시 종로구 홍지동 126-1,,,,,,,최경철,02-396-5151,제1995-00012호,37.59920978,126.9591658,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:50:06
3000000,202430000000500010,자하문주유소,서울특별시,종로구,주유소,자동차세차,서울특별시 종로구 자하문로 248,서울특별시 종로구 부암동 155-3,,,,,,,"이재형, 이민정",02-396-5252,제1995-00009호,37.59629946,126.964349,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:46:33
3000000,202430000000500006,컴인워시HD종로평창점노터치세차,서울특별시,종로구,세차장,자동차세차,서울특별시 종로구 평창문화로 135,서울특별시 종로구 평창동 80-1,,,,,,,대표이사,02-552-5175,제1996-00002호,37.60973767,126.9745583,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:49:18
3000000,202430000000500001,강남손세차장,서울특별시,종로구,세차장,자동차세차,서울특별시 종로구 지봉로 50,서울특별시 종로구 숭인동 81-15,,,,,,,김학구,,제2018-00007호,37.57453217,127.015957,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:52:03
3000000,202430000000500004,삼성손세차장,서울특별시,종로구,세차장,자동차세차,서울특별시 종로구 자하문로 78,서울특별시 종로구 효자동 60-1,,,,,,,전광진,02-736-0582,제2000-00019호,37.5828837,126.9709943,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:50:33
3000000,202430000000500002,북악주유소 주식회사,서울특별시,종로구,주유소,자동차세차,서울특별시 종로구 평창문화로 137,서울특별시 종로구 평창동 103-1,,,,,,,김예진,02-395-6500,제2009-00003호,37.60985306,126.9748663,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:51:46
3000000,202430000000500003,OK카서비스,서울특별시,종로구,정비소,자동차세차,서울특별시 종로구 평창문화로 130,서울특별시 종로구 평창동 66-32,,,,,,,김경근,02-394-6595,제2009-00001호,37.60907454,126.9745585,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:51:22
3000000,202430000000500007,㈜한화미 구도일주유소 특종,서울특별시,종로구,주유소,자동차세차,서울특별시 종로구 평창문화로 90,서울특별시 종로구 평창동 198-1,,,,,,,권창수,02-379-6524,제1997-00029호,37.60671314,126.9710485,2026-05-15,U,2026-05-16 03:03:03,2026-05-15 09:48:10
3010000,202530100000500011,약수주유소,서울특별시,중구,세차장,,서울특별시 중구 다산로 173 (신당동 ),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500001,샤인카 엔 바이크,서울특별시,중구,세차장,,"서울특별시 중구 동호로12길 81, 1층 (신당동 )",,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500002,서남주유소,서울특별시,중구,세차장,,서울특별시 중구 통일로 30 (봉래동1가),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500004,서울석유㈜장충주유소,서울특별시,중구,세차장,,서울특별시 중구 장충단로 202 (장충동1가),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500010,수정종합상사,서울특별시,중구,세차장,,서울특별시 중구 다산로 231 (무학동),,,,,,,,,,수질,37.5636932,127.0133129,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500005,중부소방서,서울특별시,중구,세차장,,서울특별시 중구 퇴계로 394 (무학동),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500007,중구자원재활용처리장,서울특별시,중구,세차장,,서울특별시 중구 칠패로 5 (의주로2가),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500009,씨앤에스유통㈜장충드림주유소,서울특별시,중구,세차장,,서울특별시 중구 동호로 296 (장충동2가),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500006,신당동주유소,서울특별시,중구,세차장,,서울특별시 중구 다산로 242 (신당5동),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500008,진심self주유소,서울특별시,중구,세차장,,서울특별시 중구 왕십리로 403 (신당동 ),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202530100000500003,현대자동차황학남부점,서울특별시,중구,세차장,,서울특별시 중구 마장로18길 9 (황학동),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3010000,202630100000500006,중구자원재활용처리장,서울특별시,중구,세차장,,서울특별시 중구 칠패로 5 (의주로2가),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500007,신당동주유소,서울특별시,중구,세차장,,서울특별시 중구 다산로 242 (신당5동),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500008,중부소방서,서울특별시,중구,세차장,,서울특별시 중구 퇴계로 394 (무학동),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500009,서울석유㈜장충주유소,서울특별시,중구,세차장,,서울특별시 중구 장충단로 202 (장충동1가),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500010,현대자동차황학남부점,서울특별시,중구,세차장,,서울특별시 중구 마장로18길 9 (황학동),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500011,서남주유소,서울특별시,중구,세차장,,서울특별시 중구 통일로 30 (봉래동1가),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500012,샤인카 엔 바이크,서울특별시,중구,세차장,,"서울특별시 중구 동호로12길 81, 1층 (신당동 )",,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500001,빌리언디테일링,서울특별시,중구,세차장,,서울특별시 중구 청구로 108 (신당동 ),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500002,약수주유소,서울특별시,중구,세차장,,서울특별시 중구 다산로 173 (신당동 ),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500003,수정종합상사,서울특별시,중구,세차장,,서울특별시 중구 다산로 231 (무학동),,,,,,,,,,수질,37.5636932,127.0133129,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500004,씨앤에스유통㈜장충드림주유소,서울특별시,중구,세차장,,서울특별시 중구 동호로 296 (장충동2가),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202630100000500005,진심self주유소,서울특별시,중구,세차장,,서울특별시 중구 왕십리로 403 (신당동 ),,,,,,,,,,수질,37.5637626,126.9953577,2026-05-11,I,2026-05-15 18:45:14,2026-05-11 13:12:44
3010000,202530100000500012,빌리언디테일링,서울특별시,중구,세차장,,서울특별시 중구 청구로 108 (신당동 ),,,,,,,,,,수질,37.5637626,126.9953577,2025-10-24,I,2026-05-15 18:45:14,2025-10-24 11:18:53
3020000,202530200000500069,라온제나,서울특별시,용산구,주유소,자동세차,서울특별시 용산구 청파로367,,연중무휴,,,,,,손윤표,02-706-6485,188,37.55236629,126.9689937,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500072,컴인워시 HD 한남점,서울특별시,용산구,주유소,자동세차,서울특별시 용산구 한남대로204,,연중무휴,,,,,,대표이사,02-795-0802,222,37.54607279,127.0028964,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500065,한국석유공업(주)한석주유소,서울특별시,용산구,주유소,자동세차,서울특별시 용산구 이촌로166,,연중무휴,,,,,,"송상호, 강승모",02-790-1020,286,37.52142383,126.9656375,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500068,덕수윤활유급유소,서울특별시,용산구,세차장,손세차,서울특별시 용산구 청파로357,,일요일,,,,,,김용근,02-716-6478,162,37.55154255,126.9691799,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500077,와이엠서비스 한남,서울특별시,용산구,세차업,손세차,서울특별시 용산구 한남대로21길  23,,,,,,,,성상제,070-7405-8450,441,37.53385752,127.006543,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500060,보광세차장,서울특별시,용산구,세차장,손세차,서울특별시 용산구 서빙고로381,,연중무휴,,,,,,하경호,02-790-6671,169,37.52614014,127.0025229,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500051,GAD,서울특별시,용산구,세차장,손세차,"서울특별시 용산구 두텁바위로43, 용암빌딩",,연중무휴,,,,,,이경희,,471,37.54590137,126.9769719,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500075,용진세차장,서울특별시,용산구,세차장,손세차,서울특별시 용산구 후암로26,,일요일,,,,,,박정훈,02-779-2749,170,37.548367,126.9781039,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500073,(주)중앙에너비스 에너비스,서울특별시,용산구,주유소,자동세차,서울특별시 용산구 한남대로82,,연중무휴,,,,,,대표이사,070-8707-4572,178,37.53603976,127.0061377,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500057,(주)용산셀프세차장,서울특별시,용산구,셀프세차장,셀프세차,서울특별시 용산구 새창로 146-1,,연중무휴,,,,,,김성택,02-3273-3737,459,37.5345383,126.961921,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500063,신태성주유소,서울특별시,용산구,주유소,자동세차,서울특별시 용산구 원효로147,,연중무휴,,,,,,이강억,02-701-9447,174,37.53471498,126.959448,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500061,에이치디현대오일뱅크㈜직영소월길주유소,서울특별시,용산구,주유소,자동세차,서울특별시 용산구 소월로66,,연중무휴,,,,,,대표이사,02-318-3314,160,37.55440857,126.9777346,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500059,그린세차장,서울특별시,용산구,세차장,손세차,서울특별시 용산구 서빙고로303,,일요일,,,,,,이웅재,02-794-6011,414,37.52151664,126.9970285,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500067,제일세차장,서울특별시,용산구,세차장,손세차,서울특별시 용산구 청파로355,,일요일,,,,,,신현재,02-711-1332,148,37.55127291,126.9692772,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500058,용산유워시 셀프세차장,서울특별시,용산구,셀프세차장,셀프세차,서울특별시 용산구 새창로14길 11,,연중무휴,,,,,,안희군,,464,37.53894436,126.9586637,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500055,크라운오토케어,서울특별시,용산구,세차장,손세차,서울특별시 용산구 대사관로34길 31-12,,연중무휴,,,,,,김준동,02-794-5582,424,37.53165827,127.0064041,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
3020000,202530200000500062,유워시럽셀프세차장,서울특별시,용산구,셀프세차장,셀프세차,서울특별시 용산구 원효로 57-8,,연중무휴,,,,,,양창주,02-707-0852,462,37.53355715,126.9508165,2025-10-20,I,2026-05-15 18:45:14,2025-10-20 14:26:54
